pais,escritorio_oms,fonte_dos_dados,data_ultima_atualizacao,data_inicio_vacinacao,total_cumulativo_doses_vacina,cumulativo_de_doses_por_100hab,cumulativo_de_pessoas_com_uma_dose,cumulativo_de_pessoas_com_uma_dose_por_100hab,cumulativo_de_pessoas_totalmente_vacinadas,cumulativo_de_pessoas_totalmente_vacinadas_por_100hab,vacinas_usadas,numero_de_tipos_de_vacina_usados,pessoas_com_dose_adicional,pessoas_com_dose_adicional_por_100hab
Uganda,AFRO,REPORTING,2023-03-26,2021-03-10,26406936.0,57.731,19488104,42.605,13043107,28.515,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",5.0,745313.0,1.629
Ucrânia,EURO,REPORTING,2022-02-27,2021-02-24,31668577.0,72.4,15774300,36.069,15153577,34.65,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",6.0,741197.0,1.695
Emirados Árabes Unidos,EMRO,REPORTING,2022-07-06,,24922054.0,251.982,9991089,101.018,9792266,99.008,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",11.0,5138699.0,51.956
República Unida da Tanzânia,AFRO,REPORTING,2023-03-12,2021-07-28,39392419.0,65.946,34434933,57.647,32165791,53.848,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty",3.0,,
Estados Unidos da América,AMRO,REPORTING,2023-05-05,2020-12-14,668168096.0,201.862,267224818,80.732,227895076,68.85,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",4.0,116556397.0,35.213
Uruguai,AMRO,REPORTING,2023-05-05,2021-02-27,9018326.0,259.615,3009646,86.64,2902292,83.55,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",3.0,2079662.0,59.868
Uzbequistão,EURO,REPORTING,2023-04-16,2021-04-28,75807715.0,226.5,21717290,64.887,18147665,54.222,"Anhui ZL - Zifivax,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac,Unknown Vaccine",9.0,15454425.0,46.175
Vanuatu,WPRO,REPORTING,2023-02-20,2021-06-02,355430.0,115.721,176624,57.505,162250,52.825,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S",3.0,16556.0,5.39
Venezuela (Bolivarian Republic of),AMRO,REPORTING,2023-05-05,2021-02-22,37860994.0,133.145,22157232,77.92,14287370,50.244,"Beijing CNBG - BBIBP-CorV,CIGB - CIGB-66,Finlay - Soberana-02,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Sinovac - CoronaVac",6.0,651502.0,2.291
Vietnã,WPRO,REPORTING,2023-05-11,2021-03-08,266312906.0,273.594,90259259,92.727,85931210,88.281,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,CIGB - CIGB-66,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",6.0,57930065.0,59.514
Wallis e Futuna,WPRO,REPORTING,2023-01-23,2021-03-19,17303.0,153.859,7150,63.578,6803,60.493,Moderna - Spikevax,1.0,3350.0,29.788
Iêmen,EMRO,REPORTING,2023-04-18,2021-04-20,1275368.0,4.276,1032545,3.462,788707,2.644,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",11.0,63989.0,0.215
Zâmbia,AFRO,REPORTING,2023-04-09,2021-04-14,13614983.0,74.059,11637730,63.304,9147920,49.76,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield",3.0,1137360.0,6.187
Zimbábue,AFRO,REPORTING,2023-04-30,2021-02-18,13935112.0,93.758,7194886,48.408,5381080,36.205,"Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Gamaleya - Gam-Covid-Vac,Sinovac - CoronaVac",4.0,1981996.0,13.335
