pais,escritorio_oms,fonte_dos_dados,data_ultima_atualizacao,data_inicio_vacinacao,total_cumulativo_doses_vacina,cumulativo_de_doses_por_100hab,cumulativo_de_pessoas_com_uma_dose,cumulativo_de_pessoas_com_uma_dose_por_100hab,cumulativo_de_pessoas_totalmente_vacinadas,cumulativo_de_pessoas_totalmente_vacinadas_por_100hab,vacinas_usadas,numero_de_tipos_de_vacina_usados,pessoas_com_dose_adicional,pessoas_com_dose_adicional_por_100hab
Holanda,EURO,REPORTING,2022-09-11,2021-01-06,36105753.0,207.4,12776868,73.398,11957152,68.689,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Unknown Vaccine",6.0,9417108.0,54.098
Nova Caledônia,WPRO,REPORTING,2023-04-03,2021-01-20,480497.0,168.301,192371,67.381,184801,64.729,"Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty",2.0,103325.0,36.191
Nova Zelândia,WPRO,REPORTING,2023-04-21,2021-02-19,12252378.0,254.081,4241210,87.951,4084115,84.693,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",4.0,2719283.0,56.391
Nicarágua,AMRO,REPORTING,2023-05-05,2021-03-03,15328476.0,231.389,6260823,94.509,6091122,91.948,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,CIGB - CIGB-66,Finlay - Soberana Plus,Finlay - Soberana-02,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",11.0,2892531.0,43.664
Níger,AFRO,REPORTING,2023-03-12,2021-03-29,7339299.0,30.319,6217508,25.685,5454196,22.532,"Beijing CNBG - BBIBP-CorV,SII - Covishield",2.0,,
Nígeria,AFRO,REPORTING,2023-03-19,2021-03-05,116606863.0,56.567,82325196,39.937,69793071,33.857,SII - Covishield,1.0,12313372.0,5.973
Niue,WPRO,REPORTING,2023-03-04,2021-06-08,4923.0,304.265,1638,101.236,1635,101.051,Pfizer BioNTech - Comirnaty,1.0,1225.0,75.711
Macedônia do Norte,EURO,REPORTING,2023-05-07,2021-02-17,1862987.0,89.4,854570,41.159,838181,40.37,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac,Wuhan CNBG - Inactivated",7.0,161633.0,7.785
Northern Mariana Islands (Commonwealth of the),WPRO,REPORTING,2022-11-04,2020-12-19,116159.0,201.816,46466,80.73,45012,78.204,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",3.0,24235.0,42.106
Noruega,EURO,REPORTING,2023-05-14,2020-12-23,12333824.0,229.8,4347099,80.988,4062092,75.678,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",4.0,3020359.0,56.27
Território palestino ocupado,EMRO,REPORTING,2022-10-18,2021-02-02,3748571.0,73.481,2012767,39.455,1776973,34.833,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",10.0,336967.0,6.605
Omã,EMRO,REPORTING,2022-10-25,2020-12-29,7086050.0,138.762,3257365,63.787,3048826,59.703,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",11.0,779859.0,15.272
Paquistão,EMRO,REPORTING,2023-05-21,2021-02-03,338819393.0,153.387,165546707,74.945,140440424,63.579,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",11.0,51054254.0,23.113
Palau,WPRO,REPORTING,2023-03-10,2021-01-03,51032.0,282.069,18573,102.659,18278,101.028,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",3.0,12885.0,71.219
Panamá,AMRO,REPORTING,2023-05-05,2021-01-20,8878948.0,205.78,3532289,81.865,3173771,73.556,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",2.0,1769291.0,41.005
Papua New Guiné,WPRO,REPORTING,2023-05-14,2021-03-30,525873.0,5.878,384117,4.293,323175,3.612,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield",4.0,34810.0,0.389
Paraguai,AMRO,REPORTING,2023-05-05,2021-02-22,9708932.0,136.122,3992209,55.972,3545972,49.715,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Gamaleya - Gam-Covid-Vac,Julphar - Hayat-Vax,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",8.0,1660654.0,23.283
Peru,AMRO,REPORTING,2023-05-05,2021-02-09,89218831.0,270.591,30469892,92.412,28637674,86.855,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",4.0,22094790.0,67.011
Filipinas,WPRO,REPORTING,2023-03-09,2021-03-01,170690206.0,155.766,78480056,71.618,74049515,67.575,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Julphar - Hayat-Vax,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",11.0,21756899.0,19.855
Ilhas Pitcairn,WPRO,REPORTING,2022-02-28,2021-05-17,138.0,276.0,55,110.0,37,74.0,AstraZeneca - Vaxzevria,1.0,23.0,46.0
Polônia,EURO,REPORTING,2023-05-14,2020-12-23,58206296.0,153.3,22982713,60.548,22703730,59.813,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",5.0,12530960.0,33.013
Portugal,EURO,REPORTING,2023-05-14,2020-12-23,27771091.0,269.7,9786666,95.215,8901440,86.456,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Moderna – Spikevax Bivalent Original/Omicron BA.1,Moderna – Spikevax Bivalent Original/Omicron BA.4/BA.5,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Pfizer BioNTech - Comirnaty Bivalent Original/Omicron BA.1,Pfizer BioNTech - Comirnaty Bivalent Original/Omicron BA.4/BA.5,Sinovac - CoronaVac",12.0,7053415.0,68.507
Porto Rico,AMRO,REPORTING,2023-05-05,,7838884.0,274.005,2904859,101.538,2687623,93.945,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",4.0,1807449.0,63.179
Catar,EMRO,REPORTING,2023-05-07,,7609178.0,264.111,2852178,98.998,2852178,98.998,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",10.0,1904822.0,66.115
República da Coréia,WPRO,REPORTING,2023-03-30,2021-02-26,135716807.0,264.714,44891328,87.56,42964865,83.803,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",5.0,33643872.0,65.622
República da Moldávia,EURO,REPORTING,2023-05-14,2021-03-03,2287894.0,56.7,1108735,27.485,1078250,26.729,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",7.0,402330.0,9.974
Romênia,EURO,REPORTING,2023-05-07,2021-01-27,16110007.0,83.3,8187839,42.361,8142015,42.124,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",4.0,1768563.0,9.15
Federação Russa,EURO,OWID,2023-05-16,,186678610.0,127.9,88798804,60.848,79701705,54.615,"SRCVB - EpiVacCorona, Gamaleya - Sputnik V",2.0,,
Ruanda,AFRO,REPORTING,2023-01-01,2021-03-05,26106436.0,201.56,10572981,81.631,9897876,76.418,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",7.0,5879013.0,45.39
Sabá,AMRO,REPORTING,2023-05-05,,4979.0,257.579,1687,87.274,1667,86.239,NaN,,1170.0,60.528
"Santa Helena, Ascensão e Tristão da Cunha",AFRO,OWID,2021-05-05,,7892.0,129.995,4361,71.833,3531,58.162,AstraZeneca - AZD1222,1.0,,
São Cristóvão e Névis,AMRO,REPORTING,2023-05-05,2021-02-22,64297.0,120.877,33794,63.532,27000,50.76,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty,SII - Covishield",3.0,3465.0,6.514
Santa Lúcia,AMRO,REPORTING,2023-05-05,2021-02-17,122977.0,66.971,60140,32.751,54971,29.936,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",5.0,7866.0,4.284
São Vicente e Granadinas,AMRO,REPORTING,2023-05-05,2021-02-01,73443.0,66.201,37532,33.831,31632,28.513,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Pfizer BioNTech - Comirnaty,SII - Covishield",5.0,4279.0,3.857
Samoa,WPRO,REPORTING,2023-02-24,2021-04-18,453130.0,228.376,191403,96.466,177954,89.688,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",2.0,82268.0,41.463
San Marino,EURO,REPORTING,2022-05-22,2021-02-24,69338.0,204.3,26357,76.501,23633,68.595,"Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty",2.0,19348.0,56.158
São Tomé e Príncipe,AFRO,REPORTING,2023-05-07,2021-03-15,262837.0,119.93,140256,63.997,111986,51.098,"AstraZeneca - Vaxzevria,SII - Covishield",2.0,34494.0,15.739
Arábia Saudita,EMRO,REPORTING,2023-04-25,2021-01-06,68534631.0,196.86,27041364,77.674,25433941,73.057,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",10.0,16059326.0,46.129
Senegal,AFRO,REPORTING,2023-05-07,2021-02-23,2936343.0,17.537,2684696,16.034,1442833,8.617,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield",3.0,815965.0,4.873
Sérvia,EURO,REPORTING,2023-03-05,2020-12-23,6722671.0,97.1,3398116,49.058,3324555,47.996,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",5.0,0.0,0.0
Seychelles,AFRO,REPORTING,2023-04-09,2021-01-10,224558.0,228.332,88520,90.008,83565,84.97,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Julphar - Hayat-Vax,SII - Covishield",4.0,44936.0,45.691
Serra Leoa,AFRO,REPORTING,2023-04-30,2021-03-15,7548308.0,94.626,5113414,64.102,4311705,54.052,"Beijing CNBG - BBIBP-CorV,SII - Covishield",2.0,759720.0,9.524
Singapura,WPRO,REPORTING,2023-03-28,2020-12-30,14904028.0,254.755,5156281,88.136,5119313,87.505,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",4.0,4628434.0,79.114
Santo Eustáquio,AMRO,REPORTING,2023-05-05,,4319.0,137.592,1791,57.056,1686,53.711,NaN,,767.0,24.435
São Martinho,AMRO,REPORTING,2023-05-05,2021-02-22,66829.0,155.844,29788,69.465,26773,62.434,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",3.0,9146.0,21.328
Eslováquia,EURO,REPORTING,2023-05-14,2020-12-23,7220974.0,132.3,2839390,52.024,2791155,51.14,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Unknown Vaccine",7.0,1686204.0,30.895
Eslovênia,EURO,REPORTING,2023-05-14,2020-12-23,3009930.0,143.6,1223424,58.373,1193132,56.928,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Moderna – Spikevax Bivalent Original/Omicron  - Generic,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Pfizer BioNTech - Comirnaty Bivalent Original/Omicron - Generic,Unknown Vaccine",8.0,650669.0,31.045
Ilhas Salomão,WPRO,REPORTING,2023-04-30,2021-03-23,610594.0,88.893,334834,48.747,252585,36.773,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Pfizer BioNTech - Comirnaty,SII - Covishield",4.0,27444.0,3.995
Somália,EMRO,REPORTING,2023-04-30,2021-03-16,9443849.0,59.421,8370355,52.666,7035193,44.265,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",11.0,,
África do Sul,AFRO,REPORTING,2023-04-30,2021-02-17,38813021.0,65.442,24165157,40.745,21038797,35.473,"Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty",2.0,4377439.0,7.381
Sudão do Sul,AFRO,REPORTING,2023-05-07,2021-04-06,4312900.0,38.53,4262480,38.079,4220606,37.705,"Janssen - Ad26.COV 2-S,SII - Covishield",2.0,440238.0,3.933
Espanha,EURO,REPORTING,2023-05-14,2020-12-30,112806846.0,238.3,41326543,87.311,37482295,79.189,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",4.0,26557455.0,56.108
Sri Lanka,SEARO,REPORTING,2022-10-30,2021-01-29,40116590.0,187.345,17143761,80.061,14752827,68.896,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",6.0,8220002.0,38.387
Sudão,EMRO,REPORTING,2023-04-02,2021-03-09,22598737.0,51.537,15207452,34.681,13416394,30.597,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",11.0,3891363.0,8.874
